Student ID,CIA-1,CIA-2,CIA-3,Assignment-1,Assignment-2,Assignment-3,Attendance (%),Internal(50),External(100),Final Marks,Grade
1,2,22,8,8,10,8,100,20,49,44,F
2,2,10,18,10,10,9,90,20,45,42,F
3,8,20,40,8,10,8,79,32,94,79,B
4,31,29,40,10,9,8,90,37,47,60,D
5,26,16,30,9,9,8,96,31,50,56,D
6,29,28,23,10,8,8,85,31,41,51,D
7,18,19,37,10,8,10,79,31,89,75,B
8,38,9,21,10,10,8,92,32,97,80,B
9,45,26,43,9,10,10,97,44,43,65,C
10,39,20,39,9,9,10,79,40,68,74,B
11,35,46,2,10,8,9,83,41,46,64,C
12,15,9,38,9,8,10,99,30,90,75,B
13,25,3,41,10,8,10,87,35,76,73,B
14,32,1,49,8,9,8,83,40,87,83,A
15,3,39,2,9,10,8,97,25,61,55,D
16,20,9,2,8,8,10,89,20,51,45,F
17,21,16,18,10,8,9,89,24,99,73,B
18,28,24,33,10,10,9,87,34,75,71,B
19,21,4,6,9,8,9,93,19,80,59,D
20,17,18,17,8,8,10,90,22,79,61,C
21,25,23,10,8,10,8,89,27,48,51,D
22,1,18,45,9,8,9,89,33,46,56,D
23,3,18,44,9,9,9,77,33,46,56,D
24,14,39,25,9,10,10,92,35,96,83,A
25,27,30,34,10,8,8,81,34,76,72,B
26,21,48,35,10,8,8,89,41,62,72,B
27,16,32,22,10,8,10,95,30,61,60,D
28,34,5,36,10,9,9,97,37,86,80,B
29,6,42,34,9,10,8,83,39,77,77,B
30,9,20,33,9,9,9,97,30,72,66,C
31,16,23,29,9,9,9,78,29,92,75,B
32,6,8,40,9,9,10,94,28,94,75,B
33,35,19,34,8,9,9,97,36,63,67,C
34,8,34,5,9,9,8,86,25,54,52,D
35,37,3,30,9,8,10,78,35,42,56,D
36,40,44,13,10,9,9,100,42,62,73,B
37,48,4,8,9,8,9,95,31,87,74,B
38,19,22,29,9,10,10,77,30,49,54,D
39,12,14,13,8,9,9,98,19,49,43,F
40,21,34,11,8,8,8,88,30,73,66,C
41,22,36,17,10,10,10,78,33,84,75,B
42,26,3,30,8,9,8,86,30,40,50,D
43,47,5,9,10,10,10,96,32,60,62,C
44,37,19,11,9,9,9,95,31,97,79,B
45,37,34,3,9,9,8,90,37,70,72,B
46,46,2,14,9,9,10,83,33,47,56,D
47,33,1,31,9,8,10,97,34,67,67,C
48,14,24,40,10,9,9,100,34,62,65,C
49,29,26,24,10,8,10,82,31,64,63,C
50,20,14,1,8,10,9,75,22,49,46,F
51,14,7,38,9,9,9,99,29,40,49,F
52,14,41,9,10,10,9,97,31,88,75,B
53,26,3,16,8,10,9,88,25,66,58,D
54,46,2,39,8,10,9,79,43,85,85,A
55,15,19,37,9,10,9,85,31,95,78,B
56,5,1,4,10,10,9,81,13,46,36,F
57,28,37,26,8,10,9,95,35,50,60,D
58,1,44,38,10,10,10,92,42,68,76,B
59,19,39,10,10,8,8,97,31,40,51,D
60,43,11,14,9,8,9,76,31,63,62,C
61,50,7,45,9,9,10,100,47,65,79,B
62,38,19,24,8,8,8,93,32,62,63,C
63,22,38,17,8,8,10,80,32,58,61,C
64,10,35,30,10,9,8,78,35,70,70,C
65,28,31,22,10,10,9,81,33,62,64,C
66,35,23,30,8,9,10,93,35,62,66,C
67,6,11,30,8,10,8,85,25,64,57,D
68,35,30,20,8,8,8,98,34,65,66,C
69,18,14,36,10,10,10,95,31,51,56,D
70,37,11,28,10,8,9,85,35,86,78,B
71,47,24,14,9,8,9,86,37,65,69,C
72,9,25,17,8,9,8,100,25,47,48,F
73,38,15,7,9,10,10,93,30,97,78,B
74,12,5,2,10,10,10,97,16,75,53,D
75,44,30,9,10,9,9,92,38,97,86,A+
76,12,48,41,8,10,9,100,44,96,92,S
77,44,9,25,10,10,10,89,37,83,78,B
78,8,44,50,8,8,8,78,45,93,91,S
79,27,13,3,8,10,9,88,25,99,74,B
80,20,34,48,9,8,8,88,41,65,73,B
81,31,29,46,8,8,10,81,39,45,61,C
82,13,5,37,8,10,9,81,29,86,72,B
83,20,37,15,8,8,8,90,30,70,65,C
84,46,23,31,8,10,10,83,40,85,82,A
85,43,14,12,10,9,10,88,32,52,58,D
86,17,40,43,9,10,10,100,42,52,68,C
87,1,2,38,10,9,10,97,25,49,49,F
88,28,49,43,9,10,8,79,45,60,75,B
89,48,18,18,10,10,10,80,36,78,75,B
90,29,39,47,9,10,9,92,43,46,66,C
91,39,32,45,9,9,8,93,42,43,63,C
92,4,33,26,9,9,8,83,32,92,78,B
